mtime,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
None,206385,270753,213271,163285,474701,465750,115046,395399,174189,139165,253144,304398,460329,278918,173030,89812,384007,324063,209617,131063,361043,102858,4772
None,415168,42400,190153,228865,366991,293392,116103,446214,333258,373474,443102,173261,42925,302648,53446,118390,231179,17907,466531,103706,326906,211229,451598
None,29182,262714,442715,394724,240431,23800,355761,304699,305486,44045,474228,56353,67203,405850,243262,462890,202884,128740,89148,414393,389637,245330,341544
None,12840,404064,422378,218177,165576,311503,155482,42807,101350,358389,102390,169769,375289,99858,328873,189076,267990,241882,74433,220171,136186,92841,39292
None,104178,131667,36879,430904,439132,460176,32288,352410,53318,389096,295802,353850,212322,124049,351025,171119,257769,224884,350902,101453,295087,383080,59196
None,178300,59896,252047,224879,483833,466627,148394,58682,81916,465853,161245,474426,422246,351241,230089,25647,155910,217365,413970,183833,5536,299295,179409
None,37689,19948,494055,27277,116688,421312,13944,25742,284637,206140,464804,462394,287307,337500,381525,292351,288416,206933,24368,334684,246696,347128,418293
None,109480,442774,381092,196198,157932,262372,39938,381665,28915,405843,465826,224965,178913,227038,448951,276169,95557,300479,82577,198032,444503,429043,138558
None,463973,362437,148557,249647,111840,31932,484299,439860,499861,99088,315329,146583,324870,294972,318522,198446,22593,394737,441495,277925,320542,462467,63165
None,296725,495149,408091,431857,293177,187460,305231,356338,340301,92504,406996,168706,416508,342484,461718,7090,229984,145502,9794,305371,184303,352796,417036
None,105507,281650,100818,340582,204441,418746,218268,133181,445130,207259,258070,104627,488840,177512,7250,40874,294332,62328,333753,440125,437386,254076,269473
None,336085,405960,496872,21527,67666,7977,419212,135041,308340,443931,491587,301713,17991,384363,234813,315464,312822,284646,405085,374514,400193,333256,277497
None,19443,178223,124831,420280,92344,258974,384020,315693,308396,102485,290694,355822,249598,413754,340105,281501,164372,458400,366592,358804,284921,219781,477680
